Version,Entry.number,Entry.status,Device_Type.name,Device_Model.manufacturer_identifier,Device_Model.model_identifier,Device_Model.hardware_version.version,Device_Model.hardware_version.revision,Device_Model.model_identifier_concatenated_with_hardware_version,Device_Model.firmware_version,SMETS_CHTS Version.Version_number_and_effective_date,GBCS Version.version_number,Manufacturer_Image.hash
Version 2.051 Issued on 21-09-2022,000081,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24030300,SMETS V2.0 ,GBCS Version 1.0 ,C800B21852940CD571A46E6785175F7535A2D6EE2B2D276A3E38715F45E7B26D
Version 2.051 Issued on 21-09-2022,000082,Current,Gas Smart Meter,1057,0575,00,00,05750000,00020203,SMETS V2.0 ,GBCS Version 1.0 ,66479EB37880C9F848AF83A2B7EBE7A48BE060083C63ACFF9789ADD9D1067545
Version 2.051 Issued on 21-09-2022,000083,Removed,Single Element Electricity Metering Equipment,1125,3132,05,01,31320501,01020096,SMETS V2.0 ,GBCS Version 1.0 ,22FB1C4C9A5F536A279DA481A7ECE11F398CCBBED486FA9AF387DFB09B2920D5
Version 2.051 Issued on 21-09-2022,000084,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01004200,SMETS V2.0 ,GBCS Version 1.0 ,EA9BEDBF864A3B0D3BF31A86FF43763034A7AB430523D1D6204915AD7C289789
Version 2.051 Issued on 21-09-2022,000085,Current,Single Element Electricity Metering Equipment,1057,0000,01,01,00000101,0123E202,SMETS V2.0 ,GBCS Version 1.0 ,60F649D6EA49F4D1A7C8674DD7D579076A595A24D8E9DFE079053BE6351516B6
Version 2.051 Issued on 21-09-2022,000086,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00080000,SMETS V2.0 ,GBCS Version 1.0 ,
Version 2.051 Issued on 21-09-2022,000087,Current,Communications Hub,106C,4331,00,AC,433100AC,126094D0,CHTS V1.0 ,GBCS Version 1.0 ,C945C73548DDD77A4C5FF665FBD64F20FD82F7301A26CDA8293151FE8FFB4A30
Version 2.051 Issued on 21-09-2022,000088,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24030500,SMETS V2.0 ,GBCS Version 1.0 ,B3357BD522E6C630666A006F0D0EBDD0FE6B9D1C5A74ACDA6F4472A58C03DD60
Version 2.051 Issued on 21-09-2022,000089,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01005000,SMETS V2.0 ,GBCS Version 1.0 ,5163EEC597245118FD61D1B7195DA7E99FCA34363B261A4E2D8D7B5606B34CE2
Version 2.051 Issued on 21-09-2022,000090,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01005000,SMETS V2.0 ,GBCS Version 1.0 ,C9EF0A5C21EDD339EB25D62D7CEEFDFE8059EB294287624919305F7C17CE4300
Version 2.051 Issued on 21-09-2022,000091,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01005200,SMETS V2.0 ,GBCS Version 1.0 ,EC66DE4D5E594BD4D27961E330B6E949B78B3EB3D0931606D3CA127197ABBFF9
Version 2.051 Issued on 21-09-2022,000092,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01005200,SMETS V2.0 ,GBCS Version 1.0 ,C7D99F65F50BF3BB08B1910625811B8479380219E9C3822BB80D18623C9349DD
Version 2.051 Issued on 21-09-2022,000093,Current,Communications Hub,1086,5431,1F,52,54311F52,0B190000,CHTS V1.0 ,GBCS Version 1.0 ,2446C7A9D282EF37D5D949E9AA62797AF61D4D32F953C9BB9F3CAC3C356A1292
Version 2.051 Issued on 21-09-2022,000094,Current,Communications Hub,1086,5432,20,52,54322052,0B190000,CHTS V1.0 ,GBCS Version 1.0 ,2446C7A9D282EF37D5D949E9AA62797AF61D4D32F953C9BB9F3CAC3C356A1292
Version 2.051 Issued on 21-09-2022,000095,Current,Communications Hub,1086,5434,21,52,54342152,0B190000,CHTS V1.0 ,GBCS Version 1.0 ,2446C7A9D282EF37D5D949E9AA62797AF61D4D32F953C9BB9F3CAC3C356A1292
Version 2.051 Issued on 21-09-2022,000096,Current,Gas Smart Meter,1015,09B3,37,00,09B33700,09030A07,SMETS V2.0 ,GBCS Version 1.0 ,DD63A0A62CD3BCF46AE47EE9323CF2B353F79721219DB3008BAF59916A7EFD01
Version 2.051 Issued on 21-09-2022,000097,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,000407FF,SMETS V2.0 ,GBCS Version 1.1  ,D3ABFD6240EF0BCE403C8B06582E59A8566725F3B0677BCDDC88A8EBFBA2A5BF
Version 2.051 Issued on 21-09-2022,000098,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00040800,SMETS V2.0 ,GBCS Version 1.1  ,5DB1ABF29CBA153223F3F20303A424145C8FF744D248D30F29AC447442775DD1
Version 2.051 Issued on 21-09-2022,000099,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01057200,SMETS V2.0 ,GBCS Version 1.1 ,CF0C0DD973CC37D25DD4DB688898DD09BF15EA2CE71DA3198E5A2546E360FF55
Version 2.051 Issued on 21-09-2022,000100,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01027200,SMETS V2.0 ,GBCS Version 1.1,3E7F3DBB5F527CAC69F2D045A428681587E1E91F363DD6A23AABE7C841D7C8CD
Version 2.051 Issued on 21-09-2022,000101,Current,Communications Hub,1086,5431,1F,52,54311F52,0B1B0000,CHTS V1.0 ,GBCS Version 1.1  ,61A6840556A8558401635E7888ADBDE1C2106616971A00F77376DE68A9FB35BF
Version 2.051 Issued on 21-09-2022,000102,Current,Communications Hub,1086,5432,20,52,54322052,0B1B0000,CHTS V1.0 ,GBCS Version 1.1  ,61A6840556A8558401635E7888ADBDE1C2106616971A00F77376DE68A9FB35BF
Version 2.051 Issued on 21-09-2022,000103,Current,Communications Hub,1086,5434,21,52,54342152,0B1B0000,CHTS V1.0 ,GBCS Version 1.1  ,61A6840556A8558401635E7888ADBDE1C2106616971A00F77376DE68A9FB35BF
Version 2.051 Issued on 21-09-2022,000104,Current,Communications Hub,106C,4331,00,AC,433100AC,1260A11E,CHTS V1.0,GBCS Version 1.1 ,1FA0E033D36E707AF2FD32B5E28FBB17ADC0695BFF320B38F1282E54A815261C
Version 2.051 Issued on 21-09-2022,000105,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24030600,SMETS V2.0 ,GBCS Version 1.1 ,693DD440590F4AE39835243EDD0BC3D1F091BB00E8BBB832B6F8CD76CFA6FF89
Version 2.051 Issued on 21-09-2022,000106,Current,Single Element Electricity Metering Equipment,1063,0005,02,02,00050202,38010100,SMETS V2.0 ,GBCS Version 1.1 ,58DB7E3503AE9CEB1B21FB763845B5E18F7E94972BDE33E18E1B487C8DD03E42
Version 2.051 Issued on 21-09-2022,000107,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01005300,SMETS V2.0 ,GBCS Version 1.1 ,900C6E92EF5180AF7180A06EE59F7589C32FF83C9518D05F0FB7ADC24F523DDB
Version 2.051 Issued on 21-09-2022,000108,Current,Gas Smart Meter,1063,4772,01,01,47720101,03030245,SMETS V2.0 ,GBCS Version 1.1 ,8FFFAEAB6C04F5F11177CD7B1DB000033331C0EAC2C3C5C0BDC0EB575CF345B8
Version 2.051 Issued on 21-09-2022,000109,Current,Pre-Payment Interface Device,1090,0007,01,00,00070100,01140000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000110,Current,Gas Smart Meter,1057,0575,01,01,05750101,00020205,SMETS V2.0 ,GBCS Version 1.1  ,D22C64E371D09EC9BDD345C16C2E007DECB36FB1D0BDFCAB4416DF6A540FAC86
Version 2.051 Issued on 21-09-2022,000111,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01058100,SMETS V2.0 ,GBCS Version 1.1 ,4366D6CCA0C3B57ACD489F9035B368283531040FCA433D78C3608B94360BAE1C
Version 2.051 Issued on 21-09-2022,000112,Current,Gas Smart Meter,106C,10F1,A1,00,10F1A100,01028100,SMETS V2.0 ,GBCS Version 1.1,890150E9262E0D449C3C7F7D47B95BE1CB4F5F51454160B6CC6EE4280C8D5937
Version 2.051 Issued on 21-09-2022,000113,Current,Single Element Electricity Metering Equipment,1063,0005,02,02,00050202,38030600,SMETS V2.0 ,GBCS Version 1.1 ,6E0F94A27362EBC9BCA98DC681CD035EC1C291B5AB423D3369FBC329487B46DE
Version 2.051 Issued on 21-09-2022,000114,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00080100,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000115,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24030700,SMETS V2.0 ,GBCS Version 1.1 ,D2B9B4E53CD86FA31003708F329744E8D6007414F77195337D9F6E0868C1AD71
Version 2.051 Issued on 21-09-2022,000116,Current,Gas Smart Meter,1015,09B3,37,00,09B33700,09030A07,SMETS V2.0 ,GBCS Version 1.1,DD63A0A62CD3BCF46AE47EE9323CF2B353F79721219DB3008BAF59916A7EFD01
Version 2.051 Issued on 21-09-2022,000117,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01058200,SMETS V2.0 ,GBCS Version 1.1 ,6B8A6A42A25DEC60D7B657112A87BDCA267B57956B8A486AC9BBE775649C0F08
Version 2.051 Issued on 21-09-2022,000118,Current,Pre-Payment Interface Device,1090,0007,01,00,00070100,01150000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000119,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01059000,SMETS V2.0 ,GBCS Version 1.1 ,646713DCD57C7DB28414A63E2260ECBC2788D88D11FE7F1DC2BD59B7A0B0230A
Version 2.051 Issued on 21-09-2022,000120,Current,Pre-Payment Interface Device,1128,0003,01,02,00030102,80230000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000121,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,000409FF,SMETS V2.0 ,GBCS Version 1.1  ,E3265C86E7F6FC692B9BCB0D1E6AE726A2470C0510C0F002AD4130990483E5DC
Version 2.051 Issued on 21-09-2022,000122,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00041000,SMETS V2.0 ,GBCS Version 1.1  ,033963005CD8C27CF52178F0AA2B8EFA616CB41F5BC5056151FA1C9E184A9BBF
Version 2.051 Issued on 21-09-2022,000123,Current,Single Element Electricity Metering Equipment,1063,0005,02,02,00050202,38030700,SMETS V2.0 ,GBCS Version 1.1 ,A853869E80F57000058F2979B0F6B6A5AED97D95493967BB353ACCE42558DE33
Version 2.051 Issued on 21-09-2022,000124,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00041001,SMETS V2.0 ,GBCS Version 1.1  ,BD4867A8FA6603C0D7DCB6FAE5C1C2A4E8AE75B9D96D13F3C2B340E3E2849320
Version 2.051 Issued on 21-09-2022,000125,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00041002,SMETS V2.0 ,GBCS Version 1.1  ,BBD763FB1619A30BA3C038697CA7A5F59F3ABD8F2B85EC4CCEB9E1627F4B92C4
Version 2.051 Issued on 21-09-2022,000126,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,01059100,SMETS V2.0 ,GBCS Version 1.1 ,8D689561B56D65AB6F4B2CE6F0FFB711A02BDC8561ECE181E4CBCDA49438961D
Version 2.051 Issued on 21-09-2022,000127,Current,Single Element Electricity Metering Equipment,1057,0000,01,01,00000101,0130EC17,SMETS V2.0 ,GBCS Version 1.1,E86E4C78F2CD5FC41C61BDAB3549D5C2D721B3E6C976EBD8B0AEC3A0330557A7
Version 2.051 Issued on 21-09-2022,000128,Current,Communications Hub,106C,4331,00,AC,433100AC,125083AE,CHTS V1.0 ,GBCS Version 1.1,1E39751CAF2A59E823D65CA8128A8C8737DDF0A39844E908E2939DC0309BAD83
Version 2.051 Issued on 21-09-2022,000129,Current,Communications Hub,106C,4331,00,AC,433100AC,126094D0,CHTS V1.0 ,GBCS Version 1.1 ,C945C73548DDD77A4C5FF665FBD64F20FD82F7301A26CDA8293151FE8FFB4A30
Version 2.051 Issued on 21-09-2022,000130,Removed,Gas Smart Meter,1063,4772,01,01,47720101,03030244,SMETS V2.0 ,GBCS Version 1.1 ,6321A1551E5F32A882EED00B1F0E2CD8273471A2EE37D916C53FF5F5C9193C0E
Version 2.051 Issued on 21-09-2022,000131,Current,Pre-Payment Interface Device,10E0,0005,12,00,00051200,00080201,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000132,Current,Communications Hub,106C,4331,00,AD,433100AD,1260A11E,CHTS V1.0,GBCS Version 1.1 ,1FA0E033D36E707AF2FD32B5E28FBB17ADC0695BFF320B38F1282E54A815261C
Version 2.051 Issued on 21-09-2022,000133,Current,Pre-Payment Interface Device,1128,0003,01,02,00030102,802B0000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000134,Current,Pre-Payment Interface Device,1090,0007,01,00,00070100,01160000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000135,Current,Pre-Payment Interface Device,1090,0006,02,00,00060200,31010900,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000136,Current,Communications Hub,1072,5731,01,00,57310100,02130003,CHTS V1.0 ,GBCS Version 1.1 ,E6C2C011E4351C85E607F1B5288F43A926E60F27B27447C8407E99CDDF32D268
Version 2.051 Issued on 21-09-2022,000137,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24030500,SMETS V2.0 ,GBCS Version 1.1 ,B3357BD522E6C630666A006F0D0EBDD0FE6B9D1C5A74ACDA6F4472A58C03DD60
Version 2.051 Issued on 21-09-2022,000138,Current,Pre-Payment Interface Device,1128,0003,01,02,00030102,802F0000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000139,Removed,Single Element Electricity Metering Equipment,1125,3132,40,34,31324034,11097714,SMETS V2.0,GBCS Version 1.1,972432A5CBE9EF817BC099C4DF61E1E54B553D6B90A0BB227FD4ADBC03FD5C75
Version 2.051 Issued on 21-09-2022,000140,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00040A01,SMETS V2.0 ,GBCS Version 1.1  ,BD4867A8FA6603C0D7DCB6FAE5C1C2A4E8AE75B9D96D13F3C2B340E3E2849320
Version 2.051 Issued on 21-09-2022,000141,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00040A02,SMETS V2.0 ,GBCS Version 1.1  ,BBD763FB1619A30BA3C038697CA7A5F59F3ABD8F2B85EC4CCEB9E1627F4B92C4
Version 2.051 Issued on 21-09-2022,000142,Current,Gas Smart Meter,1063,4772,01,01,47720101,03030247,SMETS V2.0 ,GBCS Version 1.1 ,DC46830F064EA13AB5966AAF37DFA1993111BEACF1F1F33084306F3BB6170593
Version 2.051 Issued on 21-09-2022,000143,Current,Communications Hub,1086,5431,1F,52,54311F52,0B1E0000,CHTS V1.0 ,GBCS Version 1.1  ,B75E7F91B65F1BE34C62E8BBF8B5B23482C7627373B101E5738F5F2556FF1E22
Version 2.051 Issued on 21-09-2022,000144,Current,Communications Hub,1086,5432,20,52,54322052,0B1E0000,CHTS V1.0 ,GBCS Version 1.1 ,B75E7F91B65F1BE34C62E8BBF8B5B23482C7627373B101E5738F5F2556FF1E22
Version 2.051 Issued on 21-09-2022,000145,Current,Communications Hub,1086,5434,21,52,54342152,0B1E0000,CHTS V1.0 ,GBCS Version 1.1 ,B75E7F91B65F1BE34C62E8BBF8B5B23482C7627373B101E5738F5F2556FF1E22
Version 2.051 Issued on 21-09-2022,000146,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,0105A000,SMETS V2.0 ,GBCS Version 1.1 ,22C2BE2F56E58ADF0EAA1F3D8B1E4D500EC04DD613775B4524B2B37841F9067B
Version 2.051 Issued on 21-09-2022,000147,Current,Communications Hub,1072,5732,01,01,57320101,01070002,CHTS V1.1,GBCS Version 2.0,FBBB3ED5B6E3572A987BEE62D091DB66686843F5F41E1928E82DDA72DD06B67B
Version 2.051 Issued on 21-09-2022,000148,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00050203,SMETS V2.0 ,GBCS Version 1.1  ,53EDA321634B07FAB55743101AFAAAC7B596657C015FAEAB995BBE7EB77EA9BF
Version 2.051 Issued on 21-09-2022,000149,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00050204,SMETS V2.0 ,GBCS Version 1.1  ,0481FAF24793F8E6C22F2AC81E1C2094FCDE97B5C4DE6532DF807BA5D6460533
Version 2.051 Issued on 21-09-2022,000150,Current,Pre-Payment Interface Device,1090,0007,01,00,00070100,01170000,SMETS V2.0,GBCS Version 1.1,
Version 2.051 Issued on 21-09-2022,000151,Current,Pre-Payment Interface Device,1128,0003,01,02,00030102,80330000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000152,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24030800,SMETS V2.0,GBCS Version 1.1,0C147EA5FA5BAE95CA1F7187CD5D727FC7D0A8AA5910E8446F9A03C495C74E82
Version 2.051 Issued on 21-09-2022,000153,Removed,Single Element Electricity Metering Equipment,118F,0000,01,00,00000100,00050204,SMETS V2.0 ,GBCS Version 1.1  ,106A57F5445E8B6DBF18CD767FA214E3F53C98DD53B1B9E0E96A8B0A97B849C2
Version 2.051 Issued on 21-09-2022,000154,Current,Gas Smart Meter,106C,10F2,A1,00,10F2A100,01089700,SMETS V2.0,GBCS Version 1.1,4D78A08DD5148ABF7987B13018F2DF459A3B08C027A58F66C3570595939336C0
Version 2.051 Issued on 21-09-2022,000155,Current,Gas Smart Meter,1015,09B3,37,00,09B33700,10030A08,SMETS V2.0 ,GBCS Version 1.1,70CBB231E5054038EF8D196FE5DDC2DAE4260FC9BA3AAE7146B05FF54453855B
Version 2.051 Issued on 21-09-2022,000156,Current,Pre-Payment Interface Device,10E0,0008,08,00,00080800,00010501,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000157,Current,Gas Smart Meter,1063,4772,01,01,47720101,03034247,SMETS V2.0,GBCS Version 1.1,5C82F36E97C75A1FD6301F7CAC2FE1622F38B89A016B8B6649CB729E04BE568A
Version 2.051 Issued on 21-09-2022,000158,Current,Gas Smart Meter,106C,10F2,A1,00,10F2A100,01089800,SMETS V2.0,GBCS Version 1.1,C48956C775188B41D181DCA62ECEBCFF96689A39A00FB5D2DBE1454045571E19
Version 2.051 Issued on 21-09-2022,000159,Removed,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00050325,SMETS V2.0 ,GBCS Version 1.1  ,2D7873EDCDECBB449ABCE71C5AF69F550BEC22FFDCFFCD4EC2526BFDA8D340B6
Version 2.051 Issued on 21-09-2022,000160,Current,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,00050400,SMETS V2.0 ,GBCS Version 1.1  ,95FFD8FFCC8580432B32C37CF8FFF29593DD4FE0E710E63E756925A46CDC1D18
Version 2.051 Issued on 21-09-2022,000161,Current,Single Element Electricity Metering Equipment,118F,0000,01,00,00000100,00050400,SMETS V2.0 ,GBCS Version 1.1  ,03EB303C160C5534D6B3FCFE48F19395BFD698DC5ECCD15C8B0EE902E3752B7E
Version 2.051 Issued on 21-09-2022,000162,Current,Pre-Payment Interface Device,1090,0007,01,00,00070100,04020000,SMETS V2.0,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000163,Current,Single Element Electricity Metering Equipment,1063,0005,02,02,00050202,38030702,SMETS V2.0,GBCS Version 1.1,4254183BED07D9D8EFBA8089EB6ACD3F55245DCD00430F0A9B194942B7CA492F
Version 2.051 Issued on 21-09-2022,000164,Current,Single Element Electricity Metering Equipment,118F,0000,01,00,00000100,00060200,SMETS V2.0 ,GBCS Version 1.1  ,1B31576C953950B2359C3ABBAF271ACF466C9B3D99F0643823000930C09943EE
Version 2.051 Issued on 21-09-2022,000165,Current,Single Element Electricity Metering Equipment,118F,0000,00,00,00000000,000503FF,SMETS V2.0 ,GBCS Version 1.1  ,2D7873EDCDECBB449ABCE71C5AF69F550BEC22FFDCFFCD4EC2526BFDA8D340B6
Version 2.051 Issued on 21-09-2022,000166,Current,Gas Smart Meter,1192,1111,11,11,11111111,019200B5,SMETS V2.0,GBCS Version 1.1,88B0AFE11C8F04B979B9F71B7B16D040F6E78C8EB4B08306BB9762081AF03760
Version 2.051 Issued on 21-09-2022,000167,Current,Gas Smart Meter,1192,1111,12,11,11111211,019200B5,SMETS V2.0,GBCS Version 1.1,88B0AFE11C8F04B979B9F71B7B16D040F6E78C8EB4B08306BB9762081AF03760
Version 2.051 Issued on 21-09-2022,000168,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,0105A400,SMETS V2.0 ,GBCS Version 1.1 ,D6292C19204D4A7CFB7A4818131F88AC5EEA11010F132FEE8024A564BA037EEB
Version 2.051 Issued on 21-09-2022,000169,Current,Gas Smart Meter,1057,0575,01,01,05750101,00020209,SMETS V2.0 ,GBCS Version 1.1  ,40B97FEC5E1E2846CF24EFC2A0C9E2CB5634F866693BAB9FEE894C52EC75369E
Version 2.051 Issued on 21-09-2022,000170,Current,Communications Hub,1086,5531,04,00,55310400,0C150000,CHTS V1.1,GBCS Version 2.0,B0D3B2E101A00075774C6CFFC9440DAE1B07C1791ED5B532F643F020F5B23112
Version 2.051 Issued on 21-09-2022,000171,Current,Communications Hub,1086,5532,04,00,55320400,0C150000,CHTS V1.1,GBCS Version 2.0,B0D3B2E101A00075774C6CFFC9440DAE1B07C1791ED5B532F643F020F5B23112
Version 2.051 Issued on 21-09-2022,000172,Current,Communications Hub,1086,5534,04,00,55340400,0C150000,CHTS V1.1,GBCS Version 2.0,B0D3B2E101A00075774C6CFFC9440DAE1B07C1791ED5B532F643F020F5B23112
Version 2.051 Issued on 21-09-2022,000173,Current,Pre-Payment Interface Device,10E0,0008,08,00,00080800,00010600,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000174,Current,Pre-Payment Interface Device,1128,0003,01,02,00030102,803B0000,SMETS V2.0 ,GBCS Version 1.1 ,
Version 2.051 Issued on 21-09-2022,000175,Current,Gas Smart Meter,106C,10F2,A1,00,10F2A100,0108A500,SMETS V2.0,GBCS Version 1.1,135A6B3C700F10BF81F01365CB8F59FFB52D522193AF9F711A3D5F45DE8DF268
Version 2.051 Issued on 21-09-2022,000176,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,0105A500,SMETS V2.0 ,GBCS Version 1.1 ,AC0992FDEEBC08A0E086F268F71066C4F5D530C6D69A2EB704884888A893BB0D
Version 2.051 Issued on 21-09-2022,000177,Current,Gas Smart Meter,1057,0575,01,01,05750101,0002020B,SMETS V2.0,GBCS Version 1.1,12C083E3C7A0BDB11B9573D9F312486C672FE76F0BA6787F84BCF01B744BD850
Version 2.051 Issued on 21-09-2022,000178,Current,Pre-Payment Interface Device,10E0,0008,08,00,00080800,00020200,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000179,Current,Pre-Payment Interface Device,10E0,0008,08,00,00080800,00020101,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000180,Current,Pre-Payment Interface Device,1090,0008,01,00,00080100,05020000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000181,Current,Pre-Payment Interface Device,1090,0009,01,00,00090100,05020000,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000182,Removed,Single Element Electricity Metering Equipment,1125,3132,40,34,31324034,12098614,SMETS V2.0,GBCS Version 1.1,F5756F91EB5013EF64199BF95BA0D5DE6E605E8E45B142A98FF406EED64DC233
Version 2.051 Issued on 21-09-2022,000183,Current,Gas Smart Meter,106C,10F2,A1,00,10F2A100,0108A600,SMETS V2.0,GBCS Version 1.1,FE8859E95833489189D61AF9BACC5B6A30177C81113B9288E437D7666A0A6E82
Version 2.051 Issued on 21-09-2022,000184,Current,Single Element Electricity Metering Equipment,106C,10E1,A1,00,10E1A100,0105A600,SMETS V2.0 ,GBCS Version 1.1 ,4FADF7B3B5B40F58E563C822142C8F0613A3E78BBABE7CA2BD2AF74220335781
Version 2.051 Issued on 21-09-2022,000185,Removed,Single Element Electricity Metering Equipment,1125,3132,41,30,31324130,12098614,SMETS V2.0,GBCS Version 1.1,F5756F91EB5013EF64199BF95BA0D5DE6E605E8E45B142A98FF406EED64DC233
Version 2.051 Issued on 21-09-2022,000186,Current,Pre-Payment Interface Device,10E0,0008,08,00,00080800,00020301,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000187,Current,Pre-Payment Interface Device,10E0,0009,06,00,00090600,00000501,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000188,Current,Single Element Electricity Metering Equipment,1057,0000,01,01,00000101,0133EE75,SMETS V2.0,GBCS Version 1.1,0C634F972051D1E323207F657B9CD3ECBCB74422D66029F946D08A380B4A87FC
Version 2.051 Issued on 21-09-2022,000189,Current,Single Element Electricity Metering Equipment,1028,D700,01,03,D7000103,045C042C,SMETS V2.0,GBCS Version 1.1,B290C67C752FD44B34F40C6D8FC64B9D5021C57E1CC72916D0BB96D86D8B9383
Version 2.051 Issued on 21-09-2022,000190,Current,Communications Hub,1086,5431,1F,52,54311F52,0B1F0000,CHTS V1.0,GBCS Version 1.1,4229DCAFC87F10F37B05925E1F0FBFA73BA3DFF8242A60D19E0BEB4F57451ACF
Version 2.051 Issued on 21-09-2022,000191,Current,Communications Hub,1086,5432,20,52,54322052,0B1F0000,CHTS V1.0,GBCS Version 1.1,4229DCAFC87F10F37B05925E1F0FBFA73BA3DFF8242A60D19E0BEB4F57451ACF
Version 2.051 Issued on 21-09-2022,000192,Current,Communications Hub,1086,5434,21,52,54342152,0B1F0000,CHTS V1.0,GBCS Version 1.1,4229DCAFC87F10F37B05925E1F0FBFA73BA3DFF8242A60D19E0BEB4F57451ACF
Version 2.051 Issued on 21-09-2022,000193,Current,Pre-Payment Interface Device,10E0,0009,06,00,00090600,00010001,SMETS V3.1,GBCS Version 2.1,
Version 2.051 Issued on 21-09-2022,000194,Current,Single Element Electricity Metering Equipment,1028,D700,01,03,D7000103,045D043B,SMETS V2.0,GBCS Version 1.1,5B92B54BD7F190F1EC9FC6934146B6852468A744321F8DAB74D2C3A98F957CB0
Version 2.051 Issued on 21-09-2022,000195,Current,Single Element Electricity Metering Equipment,118F,0000,01,00,00000100,00060202,SMETS V2.0,GBCS Version 1.1,1582988851DE45160123616D4AE39B75CFAECD2E99D5BF296747089FFB6F3B91
Version 2.051 Issued on 21-09-2022,000196,Current,Communications Hub,1072,5731,01,00,57310100,02140003,CHTS V1.0,GBCS Version 1.1,DB2BF5BE4F282810301EBDBFE21B3A70A17AE7224B18CA9776EEE595F58318AE
Version 2.051 Issued on 21-09-2022,000197,Current,Single Element Electricity Metering Equipment,1125,3132,41,30,31324130,12099416,SMETS V2.0,GBCS Version 1.1,D95187D0364B252641DFF95A8D0779A567F7E0FFE9380E08337277FDE9239958
Version 2.051 Issued on 21-09-2022,000198,Current,Single Element Electricity Metering Equipment,1063,0003,02,01,00030201,24031000,SMETS V2.0,GBCS Version 1.1,0EF0E750723E20B50725C2922014F13EA09E76D7D03C7F081F37FCF00246BBA9
